Município,Comunidade/Terra Indígena afetada,Povo
Água Santa,Acampamento Faxinal e TI Carreteiro,Kaingang
Barra do Ribeiro,"Passo Grande Ponte, Flor do Campo, Yvy Poty, Ka’aguy Porã, Guapo’y, Coxilha da Cruz e Tapé Porã",Guarani Mbya
Benjamin Constant do Sul,TI Votouro,Kaingang
Bento Gonçalves,Acampamento Kaingang em contexto urbano,Kaingang
Cachoeira do Sul,"Tekoá Araçaty, Mbya Guarani Acampamento Papagaio, Mbya Guarani Acampamento Irapuá",Guarani Mbya
Cachoeirinha,Karandaty (Mato do Júlio),Guarani Mbya
Cacique Doble,TI Cacique Doble,Kaingang
Camaquã,"Yguá Porã (Pacheca), Yvy’a Poty, Tenondé, Ka’a Mirindy, Guavira Poty",Guarani Mbya
Canela,Konhun Mag,Kaingang
Canela, Kurity e Yvya Porã,Guarani Mbya
Capela de Santana,Goj Kosug,Kaingang
Capivari do Sul, Acampamento RS-040 e Tekoa Araçaty,Guarani Mbya
Caraá,Varzinha,Guarani Mbya
Carazinho,TI Yvy Kupri e Acampamento às margens da BR 285,Kaingang
Caxias do Sul,Aldeia Forqueta,Kaingang
Charqueadas,Guajayvi,Guarani Mbya
Charrua,TI Ligeiro,Kaingang
Constantina,TI Segu,Kaingang
Cruzeiro do Sul,Acampamento TãnhMág (RS-453),Kaingang
Eldorado do Sul,Pekuruty,Guarani Mbya
Engenho Velho, TI Serrinha,Kaingang
Erebango,Aldeia Mato Preto ,Guarani 
Erebango,TI Ventara,Kaingang
Estrela Velha,Ka’aguy Poty,Guarani Mbya
Estrela,Jamã Tý,Kaingang
Farroupilha,Pãnónh Mág,Kaingang
Faxinalzinho,TI Kandóia,Kaingang
Iraí,Goj Veso e Aeroporto,Kaingang
Lajeado,Foxá,Kaingang
Maquiné,"Ka'aguy Porã, Yvy Ty e Guyra Nhendu",Guarani Mbya
Mato Castelhano,Tijuco Preto,Kaingang
Osório,Tekoa Sol Nascente,Guarani Mbya
Passo Fundo,Goj Nhur e Fág Nor,Kaingang
Porto Alegre,Polidoro,Charrua
Porto Alegre,"Gãh Ré (Morro Santana), Tupé Pan (Morro do Osso)",Kaingang
Porto Alegre,"Ponta do Arado, Pindó Poty, Mbya Anhatengua",Guarani Mbya
Riozinho,Ita Poty,Guarani
Rodeio Bonito e Liberato Salzano,TI Rio da Várzea (emergência na Linha Demétrio),Kaingang
Salto do Jacuí,"Horto Florestal, Aeroporto e Júlio Borges",Kaingang
Salto do Jacuí,Tekoá Porã,Guarani Mbya
Santa Maria,Kētƴjyg Tēgtū (Três Soitas),Kaingang
Santa Maria,Guaviraty Porã ,Guarani Mbya
Santo Ângelo,Yakã Ju,Guarani Mbya
São Francisco de Paula,Konglui,Xokleng
São Leopoldo,Por Fi Gá,Kaingang
São Gabriel,Jekupe Amba,Guarani Mbya
São Miguel das Missões,Koenju,Guarani Mbya
Tabaí,PoMag,Kaingang
Terra de Areia,Yy Rupa,Guarani Mbya
Torres,Nhu Porã,Guarani Mbya
Palmares do Sul,Granja Vargas,Guarani Mbya
Viamão,"Nhe'engatu (Fepagro), Pindó Mirim, Jatai'ty, TI Cantagalo e Takua Hovy",Guarani Mbya
Vicente Dutra,TI Rio dos Índios,Kaingang
Ibiraiaras e Moliterno,TI Monte Caseiros,Kaingang
Lajeado do Bugre,TI Passo dos Índios,Kaingang
